SBID,CRVAL1,CRVAL2,label_0_count_filtered_int,label_1_count_filtered_int,label_2_count_filtered_int,label_3_count_filtered_int,label_0_count_filtered_res,label_1_count_filtered_res,label_2_count_filtered_res,label_3_count_filtered_res,SBID,label_0_count_maskb,label_1_count_maskb,label_2_count_maskb,label_3_count_maskb,,name,sb,ra_min_hms,ra_max_hms,dec_min_dms,dec_max_dms,ra_min_deg,ra_max_deg,dec_min_deg,dec_max_deg,SBID,label_0_count_maskb,label_1_count_maskb,label_2_count_maskb,label_3_count_maskb
20291,26.18181667,37.24593611,324,1727,729,266,593,1030,371,247,processed_wcs_20291.csv,508,1029,1018,186,,image.i.RACS_0144+37.SB20291.cont.taylor.0.restored.conv.fits,SB20291,26:05.1,03:51.6,+34:04:24.235,+40:04:33.673,21.52134135,30.96507944,34.07339868,40.07602024,processed_wcs_20291.csv,508,1029,1018,186
20292,32.72727083,37.24593611,347,1522,701,275,530,869,434,247,processed_wcs_20292.csv,450,908,1068,177,,image.i.RACS_0210+37.SB20292.cont.taylor.0.restored.conv.fits,SB20292,52:16.7,30:03.1,+34:04:19.952,+40:04:36.067,28.06966369,37.51275236,34.07220899,40.07668536,processed_wcs_20292.csv,450,908,1068,177
20293,39.272725,37.24593611,307,1512,779,308,486,885,488,282,processed_wcs_20293.csv,359,884,1200,208,,image.i.RACS_0237+37.SB20293.cont.taylor.0.restored.conv.fits,SB20293,18:27.1,56:14.9,+34:04:09.479,+40:04:47.771,34.61270955,44.06207417,34.06929968,40.07993626,processed_wcs_20293.csv,359,884,1200,208
20294,45.81817917,37.24593611,363,1397,672,275,515,896,447,278,processed_wcs_20294.csv,380,877,1104,204,,image.i.RACS_0303+37.SB20294.cont.taylor.0.restored.conv.fits,SB20294,44:37.4,22:26.6,+34:04:07.103,+40:04:57.474,41.15579328,50.61063058,34.06863971,40.08263161,processed_wcs_20294.csv,380,877,1104,204
20295,52.36363333,37.24593611,349,1345,731,248,483,827,553,213,processed_wcs_20295.csv,359,837,1201,182,,image.i.RACS_0329+37.SB20295.cont.taylor.0.restored.conv.fits,SB20295,10:49.0,48:36.7,+34:04:33.491,+40:04:51.869,47.70426829,57.15306082,34.07596982,40.0810747,processed_wcs_20295.csv,359,837,1201,182
20296,58.9090875,37.24593611,379,1304,740,249,480,815,561,183,processed_wcs_20296.csv,359,832,1233,178,,image.i.RACS_0355+37.SB20296.cont.taylor.0.restored.conv.fits,SB20296,36:59.9,14:48.0,+34:04:33.304,+40:04:51.869,54.24972246,63.69996818,34.07591776,40.0810747,processed_wcs_20296.csv,359,832,1233,178
20297,58.96551667,32.60906667,260,2900,115,352,495,2263,118,324,processed_wcs_20297.csv,519,2144,498,292,,image.i.RACS_0355+32.SB20297.cont.taylor.0.restored.conv.fits,SB20297,38:21.6,13:52.2,+29:27:07.615,+35:27:32.980,54.58995994,63.46739246,29.4521152,35.45916124,processed_wcs_20297.csv,519,2144,498,292
20298,65.45454167,37.24593611,279,1164,748,236,403,675,488,194,processed_wcs_20298.csv,300,694,1046,174,,image.i.RACS_0421+37.SB20298.cont.taylor.0.restored.conv.fits,SB20298,03:11.2,40:59.1,+34:04:35.211,+40:04:48.066,60.79670603,70.24607059,34.07644757,40.08001846,processed_wcs_20298.csv,300,694,1046,174
20299,72,37.24593611,419,1383,815,244,541,871,536,218,processed_wcs_20299.csv,371,907,1315,187,,image.i.RACS_0448+37.SB20299.cont.taylor.0.restored.conv.fits,SB20299,29:22.1,07:10.0,+34:04:33.210,+40:04:50.066,67.34212628,76.7915681,34.07589172,40.08057398,processed_wcs_20299.csv,371,907,1315,187
20300,78.54545417,37.24593611,436,1325,697,307,461,860,581,284,processed_wcs_20300.csv,388,891,1292,212,,image.i.RACS_0514+37.SB20300.cont.taylor.0.restored.conv.fits,SB20300,55:32.7,33:20.7,+34:04:33.304,+40:04:51.869,73.88608912,83.33633484,34.07591776,40.0810747,processed_wcs_20300.csv,388,891,1292,212
