SBID,label_0_count,label_1_count,label_2_count,label_3_count
20839.csv,218,4359,55,625
21054.csv,740,4168,276,402
21152.csv,691,4469,209,417
21299.csv,559,4372,76,549
21438.csv,635,3870,246,370
21549.csv,757,4176,278,470
21610.csv,752,4352,153,437
21682.csv,561,4345,109,528
21761.csv,105,3017,102,333
21809.csv,770,4607,188,474
21978.csv,801,3734,179,383
22467.csv,423,4638,32,533
22325.csv,477,4955,73,509
22482.csv,243,3175,320,353
22821.csv,272,681,2236,233
23866.csv,741,4871,166,470
40982.csv,751,4300,193,365
41511.csv,851,4580,192,459
20275.csv,689,4652,101,531
20290.csv,462,2911,795,551
20304.csv,442,3088,960,635
20373.csv,283,2507,910,605
20396.csv,397,4872,64,542
20431.csv,630,4942,149,458
20446.csv,708,3939,137,440
20537.csv,161,3946,145,547
20540.csv,334,3177,765,557
20619.csv,289,4029,159,571
20768.csv,507,4519,88,435
20800.csv,403,4140,167,445
20906.csv,712,4933,117,566
20971.csv,686,5106,101,546
21088.csv,548,4639,83,430
21401.csv,316,4543,45,505
21476.csv,901,4215,281,399
21493.csv,710,4755,157,387
21507.csv,683,4540,156,504
21595.csv,622,4794,105,485
21629.csv,383,4355,86,604
21758.csv,755,4865,113,455
21847.csv,796,4941,154,476
21830.csv,771,4479,179,468
21936.csv,729,4877,138,472
21941.csv,255,4575,194,763
22045.csv,612,4513,164,497
22032.csv,532,4953,83,522
22818.csv,508,1578,1485,364
23104.csv,983,3401,213,379
23173.csv,700,3975,112,469
23828.csv,851,3416,172,363
24691.csv,229,4793,68,645
29578.csv,701,4300,196,362
40929.csv,655,4059,116,479
20614.csv,296,2445,781,461
20663.csv,222,4151,78,544
20686.csv,194,3951,84,527
20712.csv,24,2239,40,301
20765.csv,534,4781,104,501
20780.csv,307,4209,107,587
21060.csv,739,3744,243,454
21085.csv,318,4853,66,608
21111.csv,399,4530,73,585
21598.csv,619,4926,89,520
21624.csv,266,4608,13,594
21653.csv,457,3709,213,258
21755.csv,838,4602,183,515
22048.csv,459,4616,77,466
22453.csv,530,4724,89,494
22522.csv,493,5215,79,703
23825.csv,685,4311,116,457
25461.csv,314,157,2791,162
29575.csv,588,4318,117,441
33105.csv,811,4399,143,441
20330.csv,632,4320,128,416
20405.csv,659,4419,138,541
20472.csv,663,4139,222,444
20497.csv,284,4298,40,607
20503.csv,263,4371,56,634
20574.csv,568,4938,126,458
20834.csv,433,4539,54,553
20843.csv,262,4373,76,513
20945.csv,778,3825,254,290
21059.csv,863,3828,275,354
21294.csv,561,4222,88,478
21300.csv,595,4379,89,521
21377.csv,731,4569,215,496
21392.csv,638,4089,228,484
21435.csv,402,4644,150,442
21442.csv,811,3924,256,392
21533.csv,779,4633,181,492
21902.csv,599,4731,108,523
21896.csv,524,5179,104,640
21873.csv,767,3815,241,365
21975.csv,807,3604,257,402
21990.csv,507,3628,208,329
22328.csv,506,4967,85,517
22635.csv,223,4635,196,923
25458.csv,323,212,2578,153
33363.csv,690,4451,162,403
37898.csv,438,4659,74,553
20160.csv,185,481,2566,216
20498.csv,332,4290,40,589
20622.csv,226,3973,153,552
20655.csv,391,2856,1073,480
20724.csv,312,3619,207,577
20753.csv,279,4246,26,633
21056.csv,835,3949,265,481
21150.csv,816,4490,190,481
21378.csv,666,4828,188,476
21665.csv,641,4071,127,445
21680.csv,572,4518,99,509
22327.csv,655,4548,84,503
22350.csv,427,4158,272,617
22178.csv,427,4056,280,613
22563.csv,924,3956,226,391
21899.csv,827,4623,167,440
22465.csv,484,4340,129,549
22480.csv,574,3740,159,368
23864.csv,446,4918,221,546
37897.csv,265,4225,30,543
40980.csv,729,4292,198,386
20277.csv,719,4578,102,473
20292.csv,462,2688,913,576
20306.csv,558,2788,878,616
20371.csv,191,1742,1944,412
20394.csv,309,4650,53,530
20433.csv,260,4442,120,635
20444.csv,573,4015,65,469
20535.csv,230,3175,871,492
20689.csv,269,4329,86,663
20802.csv,629,3933,175,368
20904.csv,646,4532,111,542
21403.csv,492,4484,70,497
21474.csv,870,3895,224,368
21491.csv,807,4501,240,386
21505.csv,723,4806,146,470
21597.csv,660,4849,94,534
21832.csv,658,4761,146,449
21845.csv,755,4794,196,504
22047.csv,545,4994,64,562
22674.csv,234,687,2434,321
23171.csv,815,3748,101,444
22030.csv,564,4892,108,477
37723.csv,264,4984,38,542
20288.csv,299,3006,843,555
20429.csv,567,4928,81,550
20558.csv,361,5144,69,624
20601.csv,587,5000,106,522
20676.csv,447,2890,825,588
20693.csv,263,4435,35,526
20707.csv,582,4897,97,560
20770.csv,406,4679,100,561
20795.csv,359,4872,60,554
20818.csv,237,4423,70,618
21075.csv,901,3786,306,349
21090.csv,641,4396,109,483
21104.csv,727,4374,203,569
21173.csv,297,4497,51,593
21419.csv,588,4657,149,445
21631.csv,333,4290,52,501
21740.csv,649,4008,152,401
21959.csv,577,4475,103,537
22971.csv,807,3174,137,350
22877.csv,765,4320,128,413
24028.csv,569,4045,119,445
25474.csv,290,128,2617,115
25491.csv,329,191,2682,115
20325.csv,715,4485,128,502
20410.csv,498,4699,128,486
20467.csv,716,4348,230,436
20482.csv,557,2490,770,539
20584.csv,777,4805,141,489
20516.csv,558,5064,76,601
20561.csv,419,5152,50,576
20638.csv,290,4596,36,576
20821.csv,218,4229,70,656
20856.csv,621,4427,87,518
21387.csv,839,4596,179,481
21420.csv,626,4513,168,448
21457.csv,430,4680,62,620
21551.csv,802,4225,279,462
21608.csv,661,4233,149,455
21811.csv,784,4288,198,466
21917.csv,628,4662,84,488
21883.csv,513,5399,127,660
22064.csv,608,4303,115,440
21866.csv,712,4347,139,483
21985.csv,964,3701,242,367
21960.csv,680,4946,105,543
22115.csv,405,4720,161,491
22839.csv,296,481,2570,198
41509.csv,789,4401,152,463
20175.csv,274,356,2954,224
20468.csv,694,4256,193,390
20637.csv,385,4603,40,636
20640.csv,307,1414,1755,390
20731.csv,347,4824,57,589
20746.csv,238,4191,45,605
20859.csv,823,4499,200,454
21043.csv,785,4127,220,448
21145.csv,695,4122,157,384
21388.csv,837,4613,160,416
21458.csv,615,4383,144,410
21607.csv,708,3840,181,412
21670.csv,646,4344,141,483
21695.csv,460,3846,42,379
21701.csv,883,3523,219,325
21869.csv,714,4241,175,421
21918.csv,585,4962,136,560
22332.csv,406,5018,45,565
25442.csv,339,187,2619,125
22345.csv,323,4507,113,646
22470.csv,394,5176,48,638
23871.csv,649,4235,141,400
29380.csv,807,4005,219,342
29427.csv,253,4204,63,502
20262.csv,200,1611,1644,467
20287.csv,293,1776,1778,356
20313.csv,497,4159,58,435
20364.csv,524,4652,82,521
20381.csv,181,4156,49,606
20426.csv,600,4983,113,480
20451.csv,705,4539,172,493
20520.csv,250,4213,41,553
20557.csv,342,4998,41,585
20679.csv,299,3910,182,587
20708.csv,426,4565,74,523
20817.csv,198,4339,66,664
20860.csv,801,4304,198,422
20911.csv,701,4273,139,446
20966.csv,687,4815,70,478
21199.csv,304,4989,36,637
21484.csv,687,4333,270,478
21510.csv,619,3456,166,369
21649.csv,858,4091,283,448
21738.csv,779,4662,177,493
21850.csv,722,4555,190,440
21956.csv,574,4820,114,482
21921.csv,662,5134,96,527
22661.csv,237,766,2485,356
22154.csv,607,3733,187,361
23181.csv,852,3515,185,337
22052.csv,483,4673,99,531
22025.csv,368,4750,55,685
22449.csv,608,4899,155,522
22684.csv,998,3523,398,300
22878.csv,668,4462,178,416
20603.csv,250,4495,59,607
20674.csv,204,4770,80,752
20691.csv,288,4677,58,578
20705.csv,534,4795,75,698
20772.csv,650,4824,130,523
20797.csv,660,4478,125,449
21077.csv,803,3915,306,357
21092.csv,704,4610,81,513
21106.csv,772,4123,256,397
21171.csv,320,3981,34,523
21489.csv,795,4438,233,405
21633.csv,441,4374,77,467
21644.csv,639,3938,143,383
21735.csv,798,4599,225,520
21742.csv,702,4582,152,432
25493.csv,319,177,2674,119
22028.csv,289,4884,207,791
22444.csv,242,4571,231,780
