File Name,Subdirectory,Proportion
crossmatch-result-21079.txt,"21079,",92.82
crossmatch-result-22346.txt,"22346,",92.35
crossmatch-result-22471.txt,"22471,",93.16
crossmatch-result-20861.txt,"20861,",93.26
crossmatch-result-20600.txt,"20600,",95.21
crossmatch-result-41508.txt,"41508,",95.11
crossmatch-result-20745.txt,"20745,",94.45
crossmatch-result-22068.txt,"22068,",94.51
crossmatch-result-20748.txt,"20748,",89.35
crossmatch-result-33088.txt,"33088,",88.19
crossmatch-result-20820.txt,"20820,",94.28
crossmatch-result-21699.txt,"21699,",96.16
crossmatch-result-20556.txt,"20556,",93.71
crossmatch-result-21812.txt,"21812,",94.74
crossmatch-result-20560.txt,"20560,",95.05
crossmatch-result-20690.txt,"20690,",89.23
crossmatch-result-21389.txt,"21389,",94.76
crossmatch-result-25443.txt,"25443,",85.83
crossmatch-result-21459.txt,"21459,",93.15
crossmatch-result-29381.txt,"29381,",94.44
crossmatch-result-20261.txt,"20261,",83.76
crossmatch-result-22662.txt,"22662,",85.71
crossmatch-result-29328.txt,"29328,",95.98
crossmatch-result-21485.txt,"21485,",93.07
crossmatch-result-21914.txt,"21914,",94.48
crossmatch-result-21488.txt,"21488,",95.53
crossmatch-result-20855.txt,"20855,",94.65
crossmatch-result-21851.txt,"21851,",95.17
crossmatch-result-20730.txt,"20730,",94.45
crossmatch-result-22119.txt,"22119,",90.94
crossmatch-result-21076.txt,"21076,",95.29
crossmatch-result-21922.txt,"21922,",94.26
crossmatch-result-20174.txt,"20174,",85.72
crossmatch-result-20176.txt,"20176,",81.94
crossmatch-result-20814.txt,"20814,",95.83
crossmatch-result-20819.txt,"20819,",90.16
crossmatch-result-20822.txt,"20822,",93.69
crossmatch-result-21700.txt,"21700,",89.27
crossmatch-result-21882.txt,"21882,",95.54
crossmatch-result-21149.txt,"21149,",93.96
crossmatch-result-21042.txt,"21042,",93.55
crossmatch-result-21454.txt,"21454,",94.0
crossmatch-result-20562.txt,"20562,",95.38
crossmatch-result-20464.txt,"20464,",94.41
crossmatch-result-25441.txt,"25441,",91.47
crossmatch-result-21107.txt,"21107,",95.34
crossmatch-result-20771.txt,"20771,",94.2
crossmatch-result-21645.txt,"21645,",94.02
crossmatch-result-20636.txt,"20636,",94.84
crossmatch-result-22660.txt,"22660,",84.11
crossmatch-result-20641.txt,"20641,",83.68
crossmatch-result-22333.txt,"22333,",95.97
crossmatch-result-20794.txt,"20794,",93.46
crossmatch-result-21916.txt,"21916,",93.92
crossmatch-result-21423.txt,"21423,",96.27
crossmatch-result-20857.txt,"20857,",94.02
crossmatch-result-21919.txt,"21919,",94.48
crossmatch-result-20796.txt,"20796,",95.24
crossmatch-result-21564.txt,"21564,",94.78
crossmatch-result-22349.txt,"22349,",95.73
crossmatch-result-22876.txt,"22876,",94.39
crossmatch-result-20602.txt,"20602,",95.54
crossmatch-result-40932.txt,"40932,",95.36
crossmatch-result-21868.txt,"21868,",95.64
crossmatch-result-20675.txt,"20675,",92.36
crossmatch-result-33334.txt,"33334,",95.87
crossmatch-result-21511.txt,"21511,",93.15
crossmatch-result-20678.txt,"20678,",89.19
crossmatch-result-20515.txt,"20515,",95.17
crossmatch-result-20411.txt,"20411,",95.23
crossmatch-result-21146.txt,"21146,",93.88
crossmatch-result-21880.txt,"21880,",93.49
crossmatch-result-21040.txt,"21040,",95.36
crossmatch-result-20912.txt,"20912,",94.99
crossmatch-result-20910.txt,"20910,",93.84
crossmatch-result-20968.txt,"20968,",94.73
crossmatch-result-20521.txt,"20521,",92.97
crossmatch-result-29383.txt,"29383,",94.09
crossmatch-result-20286.txt,"20286,",82.85
crossmatch-result-21734.txt,"21734,",94.71
crossmatch-result-21736.txt,"21736,",94.42
